Date,Away_Team,Home_Team,Game_Status,Away_Win_Prob,Home_Win_Prob,Away_Proj_Runs,Home_Proj_Runs,Proj_Total,Pinnacle_Away_ML,Pinnacle_Home_ML,Pinnacle_Total_Line,Away_EV,Away_Kelly,Home_EV,Home_Kelly,Over_EV,Over_Kelly,Under_EV,Under_Kelly,Actual_Away_Runs,Actual_Home_Runs,Actual_Total,Lineups_Confirmed
2026-09-17,MIL,PIT,Final,59.7,40.3,5.28,4.58,9.9,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,4,7,11,N/A
2026-09-17,MIN,LAA,Final,52.5,47.5,4.19,4.06,8.2,-103,-105,7.5,3.5,,-7.3,,13.2,,-18.5,,4,5,9,N/A
2026-09-17,OAK,TBR,Final,17.2,82.8,3.32,5.78,9.1,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,1,10,11,N/A
2026-09-17,PHI,NYM,Final,49.0,51.0,4.07,4.12,8.2,112,-121,8.0,3.9,,-6.9,,-5.0,,0.2,,3,0,3,N/A
2026-09-17,SDP,COL,Final,74.2,25.8,7.24,5.19,12.4,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,9,2,11,N/A
2026-09-18,ATL,HOU,Final,56.3,43.7,4.38,3.98,8.4,-114,105,8.0,5.7,,-10.4,,2.3,,-7.2,,6,2,8,N/A
2026-09-18,BOS,TBR,Final,55.9,44.1,4.17,3.79,8.0,120,-131,7.0,23.0,,-22.2,,19.1,,-23.8,,4,2,6,N/A
2026-09-18,CHC,CIN,Final,71.1,28.9,5.34,3.88,9.2,-132,119,9.5,25.0,,-36.7,,-16.3,,10.4,,4,6,10,N/A
2026-09-18,DET,CHW,Final,53.4,46.6,4.92,4.68,9.6,114,-124,8.0,14.3,,-15.8,,30.8,,-37.0,,11,8,19,N/A
2026-09-18,KCR,PIT,Final,47.3,52.7,4.03,4.22,8.3,105,-115,8.0,-3.0,,-1.5,,-3.1,,-2.8,,5,8,13,N/A
2026-09-18,MIA,SDP,Final,52.5,47.5,4.04,3.91,8.0,184,-202,7.5,49.1,,-29.0,,6.0,,-11.6,,2,8,10,N/A
2026-09-18,MIL,BAL,Final,62.1,37.9,4.97,4.18,9.2,-144,132,8.0,5.2,,-12.1,,18.0,,-24.8,,6,5,11,N/A
2026-09-18,MIN,LAA,Final,57.9,42.1,5.43,4.83,10.3,-106,-102,8.0,12.5,,-16.6,,43.9,,-49.7,,3,0,3,N/A
2026-09-18,NYY,ARI,Final,50.9,49.1,3.86,3.8,7.7,-102,-106,7.5,0.8,,-4.6,,-5.3,,-0.6,,9,2,11,N/A
2026-09-18,OAK,CLE,Final,34.6,65.4,4.0,5.03,9.0,201,-222,8.0,4.1,,-5.1,,17.5,,-23.4,,3,5,8,N/A
2026-09-18,PHI,NYM,Final,55.7,44.3,3.98,3.68,7.7,111,-121,8.5,17.5,,-19.1,,-31.5,,27.0,,3,6,9,N/A
2026-09-18,SEA,COL,Final,59.9,40.1,6.76,5.99,12.8,-179,164,10.5,-6.6,,5.9,,40.8,,-47.3,,5,4,9,N/A
2026-09-18,SFG,LAD,Final,31.0,69.0,3.77,5.06,8.8,261,-294,8.0,11.9,,-7.5,,13.5,,-18.9,,2,8,10,N/A
2026-09-18,TOR,TEX,Final,62.1,37.9,4.14,3.4,7.5,-132,121,7.5,9.1,,-16.2,,-2.2,,-3.5,,1,7,8,N/A
2026-09-18,WSN,STL,Final,52.2,47.8,4.39,4.23,8.6,-107,-101,7.5,1.0,,-4.9,,23.5,,-29.4,,9,1,10,N/A
2026-09-19,ATL,HOU,Final,63.5,36.5,4.66,3.77,8.4,,,,,,,,,,,,6,3,9,N/A
2026-09-19,BOS,TBR,Final,49.4,50.6,4.27,4.3,8.6,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,1,2,3,N/A
